USER_ID,CAUSE_RANK,CAUSE,SCORE
user_0,1,DISASTER_RELIEF,0.219
user_0,2,COMMUNITY_HEALTH,0.188
user_0,3,ANIMAL_RESCUE,0.170
user_0,4,ENVIRONMENT,0.143
user_0,5,EDUCATION,0.142
user_0,6,CLEAN_WATER,0.138
user_1,1,ANIMAL_RESCUE,0.215
user_1,2,ENVIRONMENT,0.173
user_1,3,COMMUNITY_HEALTH,0.171
user_1,4,DISASTER_RELIEF,0.149
user_1,5,EDUCATION,0.146
user_1,6,CLEAN_WATER,0.145
user_10,1,ANIMAL_RESCUE,0.191
user_10,2,CLEAN_WATER,0.174
user_10,3,COMMUNITY_HEALTH,0.171
user_10,4,DISASTER_RELIEF,0.168
user_10,5,ENVIRONMENT,0.156
user_10,6,EDUCATION,0.139
user_100,1,ENVIRONMENT,0.208
user_100,2,ANIMAL_RESCUE,0.205
user_100,3,DISASTER_RELIEF,0.166
user_100,4,COMMUNITY_HEALTH,0.142
user_100,5,EDUCATION,0.140
user_100,6,CLEAN_WATER,0.140
user_101,1,CLEAN_WATER,0.218
user_101,2,COMMUNITY_HEALTH,0.179
user_101,3,ENVIRONMENT,0.167
user_101,4,EDUCATION,0.164
user_101,5,ANIMAL_RESCUE,0.144
user_101,6,DISASTER_RELIEF,0.128
user_102,1,ANIMAL_RESCUE,0.209
user_102,2,ENVIRONMENT,0.191
user_102,3,EDUCATION,0.172
user_102,4,CLEAN_WATER,0.164
user_102,5,DISASTER_RELIEF,0.138
user_102,6,COMMUNITY_HEALTH,0.126
user_103,1,ANIMAL_RESCUE,0.226
user_103,2,ENVIRONMENT,0.189
user_103,3,COMMUNITY_HEALTH,0.159
user_103,4,DISASTER_RELIEF,0.154
user_103,5,CLEAN_WATER,0.139
user_103,6,EDUCATION,0.133
user_104,1,DISASTER_RELIEF,0.239
user_104,2,COMMUNITY_HEALTH,0.197
user_104,3,ANIMAL_RESCUE,0.176
user_104,4,CLEAN_WATER,0.132
user_104,5,ENVIRONMENT,0.131
user_104,6,EDUCATION,0.125
user_105,1,DISASTER_RELIEF,0.228
user_105,2,COMMUNITY_HEALTH,0.191
